,info,habs,m2,floor,price,elevator,exterior,neigh,type
0,"Piso en plaza Guinardó, 10, El Guinardó, Barcelona",3,115.0,1.0,495000,True,True,El Guinardó,Piso
1,"Dúplex en plaza Guinardó, 10, El Guinardó, Barcelona",105,,,395000,False,False,El Guinardó,Dúplex
2,"Dúplex en plaza Guinardó, 10, El Guinardó, Barcelona",2,104.0,,440000,True,False,El Guinardó,Dúplex
3,"Piso en Verdun, Barcelona",2,55.0,3.0,141000,True,True,Verdun,Piso
4,"Piso en La Dreta de l'Eixample, Barcelona",3,351.0,1.0,2300000,True,True,La Dreta de l'Eixample,Piso
5,"Piso en El Parc i la Llacuna del Poblenou, Barcelona",4,97.0,,335000,True,False,El Parc i la Llacuna del Poblenou,Piso
6,"Chalet adosado en La Font d'En Fargues, Barcelona",6,174.0,,299000,False,False,La Font d'En Fargues,Chalet
7,"Piso en via Augusta, Sant Gervasi - Galvany, Barcelona",5,298.0,3.0,1750000,True,True,Sant Gervasi - Galvany,Piso
8,"Piso en calle de Viladomat, La Nova Esquerra de l'Eixample, Barcelona",4,92.0,3.0,460000,True,True,La Nova Esquerra de l'Eixample,Piso
9,"Ático en calle d'Entença, Sant Antoni, Barcelona",2,90.0,7.0,590000,True,True,Sant Antoni,Ático
10,"Piso en avenida Diagonal, La Dreta de l'Eixample, Barcelona",2,130.0,1.0,450000,True,True,La Dreta de l'Eixample,Piso
11,"Dúplex en La Sagrada Família, Barcelona",2,110.0,1.0,395000,False,True,La Sagrada Família,Dúplex
12,"Piso en Sant Gervasi - Galvany, Barcelona",5,250.0,,999000,True,False,Sant Gervasi - Galvany,Piso
13,"Piso en La Teixonera, Barcelona",3,81.0,2.0,225000,False,True,La Teixonera,Piso
14,"Piso en El Putxet i el Farró, Barcelona",4,165.0,2.0,800000,True,False,El Putxet i el Farró,Piso
15,"Piso en El Raval, Barcelona",2,70.0,,249000,False,False,El Raval,Piso
16,"Piso en Sant Gervasi - Galvany, Barcelona",4,150.0,3.0,850000,True,False,Sant Gervasi - Galvany,Piso
17,"Chalet adosado en Can Baró, Barcelona",3,110.0,,430000,False,False,Can Baró,Chalet
18,"Piso en Sant Gervasi - Galvany, Barcelona",4,129.0,2.0,685000,True,False,Sant Gervasi - Galvany,Piso
19,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",2,105.0,2.0,475000,True,False,L'Antiga Esquerra de l'Eixample,Piso
20,"Ático en El Fort Pienc, Barcelona",5,161.0,7.0,690000,True,False,El Fort Pienc,Ático
21,"Piso en Sant Gervasi - La Bonanova, Barcelona",4,256.0,,1295000,True,False,Sant Gervasi - La Bonanova,Piso
22,"Piso en Sant Antoni, Barcelona",3,118.0,6.0,510000,True,False,Sant Antoni,Piso
23,"Piso en Sant Andreu, Barcelona",3,178.0,1.0,535000,False,False,Sant Andreu,Piso
24,"Piso en La Dreta de l'Eixample, Barcelona",4,143.0,4.0,995000,True,False,La Dreta de l'Eixample,Piso
25,"Piso en Sant Gervasi - La Bonanova, Barcelona",3,234.0,1.0,1100000,False,False,Sant Gervasi - La Bonanova,Piso
26,"Ático en Sant Gervasi - La Bonanova, Barcelona",5,184.0,,830000,True,False,Sant Gervasi - La Bonanova,Ático
27,"Piso en Sant Gervasi - La Bonanova, Barcelona",3,130.0,1.0,1290000,True,False,Sant Gervasi - La Bonanova,Piso
28,"Piso en Vila de Gràcia, Barcelona",1,202.0,,750000,False,False,Vila de Gràcia,Piso
29,"Piso en calle de Bac de Roda, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1,69.0,,395000,True,False,Diagonal Mar i el Front Marítim del Poblenou,Piso
30,"Piso en La Dreta de l'Eixample, Barcelona",4,239.0,,1100000,True,False,La Dreta de l'Eixample,Piso
31,"Piso en La Nova Esquerra de l'Eixample, Barcelona",3,106.0,1.0,595000,True,True,La Nova Esquerra de l'Eixample,Piso
32,"Piso en Sant Gervasi - Galvany, Barcelona",4,200.0,,1400000,True,False,Sant Gervasi - Galvany,Piso
33,"Piso en Sants - Badal, Barcelona",5,78.0,1.0,199000,False,True,Sants - Badal,Piso
34,"Piso en Vila de Gràcia, Barcelona",3,189.0,,1080000,True,False,Vila de Gràcia,Piso
35,"Piso en La Dreta de l'Eixample, Barcelona",3,249.0,,1395000,True,False,La Dreta de l'Eixample,Piso
36,"Piso en calle del Capità Arenas, Pedralbes, Barcelona",2,62.0,5.0,450000,True,True,Pedralbes,Piso
37,"Piso en El Guinardó, Barcelona",3,83.0,2.0,270000,True,True,El Guinardó,Piso
38,"Piso en avenida de Francesc Cambó, Sant Pere - Santa Caterina i la Ribera, Barcelona",5,152.0,5.0,665000,True,True,Sant Pere - Santa Caterina i la Ribera,Piso
39,"Piso en Sant Gervasi - Galvany, Barcelona",4,135.0,,749000,True,False,Sant Gervasi - Galvany,Piso
40,"Piso en Diagonal Mar i el Front Marítim del Poblenou, Barcelona",3,84.0,7.0,327000,True,False,Diagonal Mar i el Front Marítim del Poblenou,Piso
41,"Piso en Sant Gervasi - La Bonanova, Barcelona",5,220.0,2.0,1175000,True,False,Sant Gervasi - La Bonanova,Piso
42,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",4,86.0,,495000,True,False,L'Antiga Esquerra de l'Eixample,Piso
43,"Piso en avenida de Josep Tarradellas, L'Antiga Esquerra de l'Eixample, Barcelona",2,80.0,1.0,690000,True,True,L'Antiga Esquerra de l'Eixample,Piso
44,"Piso en avenida de Josep Tarradellas, L'Antiga Esquerra de l'Eixample, Barcelona",2,80.0,3.0,630000,True,True,L'Antiga Esquerra de l'Eixample,Piso
45,"Piso en Cep, El Congrés i els Indians, Barcelona",2,64.0,1.0,185000,True,True,El Congrés i els Indians,Piso
46,"Piso en Sant Gervasi - Galvany, Barcelona",3,132.0,1.0,790000,True,True,Sant Gervasi - Galvany,Piso
47,"Piso en calle del Consell de Cent, L'Antiga Esquerra de l'Eixample, Barcelona",3,400.0,,1020000,False,False,L'Antiga Esquerra de l'Eixample,Piso
48,"Piso en calle del Marquès de Sentmenat, Les Corts, Barcelona",2,80.0,1.0,375000,True,True,Les Corts,Piso
49,"Piso en calle de Mandri, Sant Gervasi - La Bonanova, Barcelona",5,170.0,3.0,950000,True,True,Sant Gervasi - La Bonanova,Piso
50,"Piso en Bilbao, 110, El Poblenou, Barcelona",3,168.0,25.0,1090000,True,True,El Poblenou,Piso
51,"Piso en paseo de Manuel Girona, Pedralbes, Barcelona",3,110.0,8.0,800000,True,True,Pedralbes,Piso
52,"Piso en calle de la Diputació, L'Antiga Esquerra de l'Eixample, Barcelona",2,149.0,,1200000,True,False,L'Antiga Esquerra de l'Eixample,Piso
53,"Piso en Gran Via de les Corts Catalanes, Sant Martí de Provençals, Barcelona",4,83.0,3.0,239000,True,True,Sant Martí de Provençals,Piso
54,"Ático en Sant Gervasi - Galvany, Barcelona",2,101.0,,810000,True,False,Sant Gervasi - Galvany,Ático
55,"Piso en calle de Jaume Vicens i Vives, La Vila Olímpica del Poblenou, Barcelona",3,111.0,4.0,586000,True,True,La Vila Olímpica del Poblenou,Piso
56,"Piso en calle de los Castillejos, La Sagrada Família, Barcelona",4,90.0,5.0,345000,True,True,La Sagrada Família,Piso
57,"Piso en calle de València, L'Antiga Esquerra de l'Eixample, Barcelona",5,152.0,6.0,560000,True,True,L'Antiga Esquerra de l'Eixample,Piso
58,"Piso en calle de Viladomat, Sant Antoni, Barcelona",5,181.0,2.0,995000,True,True,Sant Antoni,Piso
59,"Piso en calle de Balmes, La Dreta de l'Eixample, Barcelona",6,191.0,,950000,True,False,La Dreta de l'Eixample,Piso
60,"Piso en Princesa, Sant Pere - Santa Caterina i la Ribera, Barcelona",3,109.0,3.0,775000,True,True,Sant Pere - Santa Caterina i la Ribera,Piso
61,"Piso en La Vall d'Hebron - La Clota, Barcelona",2,80.0,8.0,299000,True,False,La Vall d'Hebron - La Clota,Piso
62,"Piso en calle del Dos de Maig, La Sagrada Família, Barcelona",4,94.0,1.0,420000,True,True,La Sagrada Família,Piso
